,Energy,Error,Architecture,Method,cost
344,0.139522190103724,0.432813180925522,SqueezeNet,Max-Uncertainty + RF,0
345,0.361816551140096,0.130335563178459,SqueezeNet,PAL,0
346,0.292000493446826,0.138141392622194,SqueezeNet,PAL,0
347,0.181541754603559,0.148048927437159,SqueezeNet,PAL,0
348,0.172706389136168,0.150353345142988,SqueezeNet,PAL,0
349,0.172673048134404,0.151232809483517,SqueezeNet,PAL,0
350,0.143466330589369,0.152097075201085,SqueezeNet,PAL,0
351,0.143466330589369,0.173236065919705,SqueezeNet,PAL,0
352,0.118093828247164,0.191659362216347,SqueezeNet,PAL,0
353,0.107874811206577,0.24995022409009,SqueezeNet,PAL,0
354,0.106691205643965,0.27112364492566,SqueezeNet,PAL,0
355,0.102923672444662,0.296950033949071,SqueezeNet,PAL,0
356,0.483521209878272,0.130370010571736,SqueezeNet,PESMO,0
357,0.370275163287557,0.153655928840829,SqueezeNet,PESMO,0
358,0.364213769166909,0.17708674515688,SqueezeNet,PESMO,0
359,0.213309061084049,0.191598658477933,SqueezeNet,PESMO,0
360,0.2056673034798,0.234686184846073,SqueezeNet,PESMO,0
361,0.20111625673905,0.261084259411651,SqueezeNet,PESMO,0
362,0.192764335797233,0.28708674515688,SqueezeNet,PESMO,0
363,0.157716274743191,0.326899885620367,SqueezeNet,PESMO,0
364,0.123458395430949,0.338613122787433,SqueezeNet,PESMO,0
365,0.288666393270452,0.165379405544782,SqueezeNet,ParEGO,0
366,0.273492903367774,0.203721490779264,SqueezeNet,ParEGO,0
367,0.225441851625874,0.236862145589165,SqueezeNet,ParEGO,0
368,0.250637646658731,0.236862145589165,SqueezeNet,ParEGO,0
369,0.182121888034248,0.241911229353196,SqueezeNet,ParEGO,0
370,0.176790661852226,0.251473605823255,SqueezeNet,ParEGO,0
371,0.148604178961161,0.289290824132182,SqueezeNet,ParEGO,0
372,0.144773297858507,0.325331691870735,SqueezeNet,ParEGO,0
373,0.12799943987117,0.338977014075185,SqueezeNet,ParEGO,0
374,0.220709819925249,0.193224078315418,SqueezeNet,Ratio-FlexiBO+GP,0
375,0.219952979185213,0.217430159891848,SqueezeNet,Ratio-FlexiBO+GP,0
376,0.199394127315949,0.219703390509502,SqueezeNet,Ratio-FlexiBO+GP,0
